Trade #,Type       ,Signal     ,Date/Time     ,Price  ,Contracts,Profit  ,ProfitPerc,ProfitEqPerc,ProfitEq,RunUpPerc,RunUp   ,DrawdownPerc,Drawdown
1      ,Entry Short,Enter Short,16.12.13 01:00,869.1  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,03.01.14 01:00,759.6  ,11.513   ,126.1   ,0.1       ,0.1         ,126.1   ,0.6      ,563.1   ,0           ,17. Feb
2      ,Entry Long ,Enter Long ,03.01.14 01:00,759.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,25.01.14 01:00,821.1  ,14.108   ,86.8    ,0.1       ,0.1         ,212.8   ,0.3      ,366     ,0           ,0
3      ,Entry Short,Enter Short,25.01.14 01:00,821.1  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,07.03.14 01:00,667    ,14.629   ,225.4   ,0.2       ,0.2         ,438.3   ,0.5      ,542.9   ,0           ,27. Jun
4      ,Entry Long ,Enter Long ,07.03.14 01:00,667    ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,20.03.14 01:00,626    ,21.056   ,-86.3   ,-0.1      ,-0.1        ,351.9   ,0        ,36.8    ,0.2         ,246.4
5      ,Entry Short,Enter Short,20.03.14 01:00,626    ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,20.04.14 02:00,499.6  ,21.383   ,270.3   ,0.2       ,0.2         ,622.2   ,0.4      ,582.1   ,0           ,32.4
6      ,Entry Long ,Enter Long ,20.04.14 02:00,499.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,29.04.14 02:00,451.8  ,32.227   ,-154    ,-0.1      ,-0.1        ,468.2   ,0        ,57.1    ,0.1         ,227.2
7      ,Entry Short,Enter Short,29.04.14 02:00,451.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,21.05.14 02:00,460.9  ,32.177   ,-29.3   ,0         ,0           ,438.9   ,0.1      ,95.3    ,0.1         ,151.4
8      ,Entry Long ,Enter Long ,21.05.14 02:00,460.9  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,17.06.14 02:00,587.6  ,29.293   ,371.1   ,0.3       ,0.3         ,810     ,0.5      ,635.7   ,0           ,0
9      ,Entry Short,Enter Short,17.06.14 02:00,587.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,02.07.14 02:00,623.7  ,30.481   ,-110    ,-0.1      ,-0.1        ,700     ,0.1      ,92      ,0.1         ,214.1
10     ,Entry Long ,Enter Long ,02.07.14 02:00,623.7  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,25.07.14 02:00,615    ,25.162   ,-21.9   ,0         ,0           ,678.1   ,0.1      ,88.5    ,0           ,75.1
11     ,Entry Short,Enter Short,25.07.14 02:00,615    ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,17.10.14 02:00,391.6  ,27.034   ,603.9   ,0.4       ,0.4         ,1282    ,0.6      ,923.7   ,0           ,22. Feb
12     ,Entry Long ,Enter Long ,17.10.14 02:00,391.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,26.10.14 02:00,366.6  ,58.009   ,-145    ,-0.1      ,-0.1        ,1137    ,0        ,24. Mär ,0.1         ,212.3
13     ,Entry Short,Enter Short,26.10.14 02:00,366.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,13.11.14 01:00,381.7  ,57.715   ,-87.1   ,0         ,0           ,1049.9  ,0.1      ,269     ,0.2         ,368
14     ,Entry Long ,Enter Long ,13.11.14 01:00,381.7  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,10.12.14 01:00,365.5  ,47.002   ,-76.1   ,0         ,0           ,973.7   ,0.2      ,321     ,0.1         ,184.4
15     ,Entry Short,Enter Short,10.12.14 01:00,365.5  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,29.01.15 01:00,250.1  ,53.633   ,618.9   ,0.3       ,0.3         ,1592.7  ,0.5      ,1021.7  ,0           ,35.5
16     ,Entry Long ,Enter Long ,29.01.15 01:00,250.1  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,02.02.15 01:00,228.7  ,102.471  ,-219.3  ,-0.1      ,-0.1        ,1373.4  ,0        ,0.1     ,0.2         ,410.8
17     ,Entry Short,Enter Short,02.02.15 01:00,228.7  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,17.02.15 01:00,238    ,10.275   ,-95.6   ,0         ,0           ,1277.8  ,0.1      ,243.5   ,0.2         ,370.9
18     ,Entry Long ,Enter Long ,17.02.15 01:00,238    ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,23.03.15 01:00,264.7  ,93.135   ,248.7   ,0.1       ,0.1         ,1526.5  ,0.3      ,577.4   ,0           ,71.7
19     ,Entry Short,Enter Short,23.03.15 01:00,264.7  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,04.05.15 02:00,236.2  ,94.492   ,269.3   ,0.1       ,0.1         ,1795.8  ,0.2      ,456.9   ,0           ,69
20     ,Entry Long ,Enter Long ,04.05.15 02:00,236.2  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,21.05.15 02:00,233.8  ,114.697  ,-27.5   ,0         ,0           ,1768.3  ,0        ,89.5    ,0           ,105.5
21     ,Entry Short,Enter Short,21.05.15 02:00,233.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,25.05.15 02:00,238.1  ,117.226  ,-50.4   ,0         ,0           ,1717.8  ,0        ,0       ,0           ,119.6
22     ,Entry Long ,Enter Long ,25.05.15 02:00,238.1  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,30.05.15 02:00,235.7  ,112.151  ,-26.9   ,0         ,0           ,1690.9  ,0        ,26. Feb ,0           ,45.6
23     ,Entry Short,Enter Short,30.05.15 02:00,235.7  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,17.06.15 02:00,237.5  ,113.028  ,-20.3   ,0         ,0           ,1670.6  ,0.1      ,173.6   ,0.1         ,172.9
24     ,Entry Long ,Enter Long ,17.06.15 02:00,237.5  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,08.08.15 02:00,281.8  ,106.368  ,471.2   ,0.2       ,0.2         ,2141.8  ,0.3      ,835.1   ,0           ,0.2
25     ,Entry Short,Enter Short,08.08.15 02:00,281.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,10.09.15 02:00,240.8  ,110.391  ,452.6   ,0.1       ,0.1         ,2594.4  ,0.3      ,1034.3  ,0           ,21. Sep
26     ,Entry Long ,Enter Long ,10.09.15 02:00,240.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,17.09.15 02:00,230.6  ,14.737   ,-150.3  ,0         ,0           ,2444.1  ,0        ,19. Apr ,0.1         ,213.4
27     ,Entry Short,Enter Short,17.09.15 02:00,230.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,30.09.15 02:00,236.3  ,147.869  ,-84.3   ,0         ,0           ,2359.8  ,0        ,110.9   ,0           ,139
28     ,Entry Long ,Enter Long ,30.09.15 02:00,236.3  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,17.11.15 01:00,324.6  ,138.903  ,1226.5  ,0.4       ,0.4         ,3586.3  ,01. Jan  ,3523.8  ,0           ,45.8
29     ,Entry Short,Enter Short,17.11.15 01:00,324.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,29.11.15 01:00,350.1  ,139.905  ,-356.8  ,-0.1      ,-0.1        ,3229.6  ,0        ,204.3   ,0.1         ,635.2
30     ,Entry Long ,Enter Long ,29.11.15 01:00,350.1  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,01.01.16 01:00,426.8  ,116.078  ,890.3   ,0.2       ,0.2         ,4119.9  ,0.3      ,1365    ,0           ,10. Apr
31     ,Entry Short,Enter Short,01.01.16 01:00,426.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,09.01.16 01:00,446    ,118.767  ,-228    ,0         ,0           ,3891.8  ,0        ,45.4    ,0.1         ,394.3
32     ,Entry Long ,Enter Long ,09.01.16 01:00,446    ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,17.01.16 01:00,396.3  ,104.007  ,-516.9  ,-0.1      ,-0.1        ,3374.9  ,0        ,144.3   ,0.2         ,980.2
33     ,Entry Short,Enter Short,17.01.16 01:00,396.3  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,16.02.16 01:00,394.8  ,109.653  ,16. Apr ,0         ,0           ,3391.4  ,0.1      ,343.2   ,0.1         ,323.3
34     ,Entry Long ,Enter Long ,16.02.16 01:00,394.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,08.03.16 01:00,404.6  ,107.537  ,105.4   ,0         ,0           ,3496.8  ,0.1      ,529.1   ,0           ,81
35     ,Entry Short,Enter Short,08.03.16 01:00,404.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,26.03.16 01:00,415.5  ,110.021  ,-119.9  ,0         ,0           ,3376.8  ,0        ,0.3     ,0.1         ,276.2
36     ,Entry Long ,Enter Long ,26.03.16 01:00,415.5  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,21.05.16 02:00,440.5  ,104.062  ,260.2   ,0.1       ,0.1         ,3637    ,0.1      ,567.1   ,0           ,109.3
37     ,Entry Short,Enter Short,21.05.16 02:00,440.5  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,29.05.16 02:00,476.1  ,104.233  ,-371.1  ,-0.1      ,-0.1        ,3265.9  ,0        ,98.9    ,0.2         ,1089.2
38     ,Entry Long ,Enter Long ,29.05.16 02:00,476.1  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,30.06.16 02:00,645.9  ,80.541   ,1367.6  ,0.4       ,0.3         ,4633.5  ,0.6      ,2456.9  ,0           ,27. Jul
39     ,Entry Short,Enter Short,30.06.16 02:00,645.9  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,04.07.16 02:00,676.6  ,86.421   ,-265.3  ,0         ,0           ,4368.2  ,0        ,94.2    ,0.1         ,501.8
40     ,Entry Long ,Enter Long ,04.07.16 02:00,676.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,09.07.16 02:00,658.6  ,78.425   ,-141.2  ,0         ,0           ,4227    ,0        ,63.8    ,0.1         ,516.8
41     ,Entry Short,Enter Short,09.07.16 02:00,658.6  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,18.07.16 02:00,668.5  ,78.577   ,-77.8   ,0         ,0           ,4149.2  ,0.1      ,287.6   ,0           ,207.4
42     ,Entry Long ,Enter Long ,18.07.16 02:00,668.5  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,25.07.16 02:00,659.3  ,75.063   ,-69.1   ,0         ,0           ,4080.2  ,0        ,131.4   ,0           ,179.8
43     ,Entry Short,Enter Short,25.07.16 02:00,659.3  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,05.09.16 02:00,593.8  ,7.628    ,499.6   ,0.1       ,0.1         ,4579.8  ,0.3      ,1375.3  ,0           ,41
44     ,Entry Long ,Enter Long ,05.09.16 02:00,593.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,24.09.16 02:00,600.3  ,89.518   ,58.2    ,0         ,0           ,4638    ,0.1      ,366.8   ,0           ,16. Jan
45     ,Entry Short,Enter Short,24.09.16 02:00,600.3  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,02.10.16 02:00,610.8  ,92.984   ,-97.6   ,0         ,0           ,4540.4  ,0        ,21. Apr ,0           ,158.1
46     ,Entry Long ,Enter Long ,02.10.16 02:00,610.8  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,12.01.17 01:00,879.5  ,88.838   ,2387.1  ,0.4       ,0.4         ,6927.4  ,0.9      ,4851.4  ,0           ,32.4
47     ,Entry Short,Enter Short,12.01.17 01:00,879.5  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,24.01.17 01:00,915.9  ,89.282   ,-325    ,0         ,0           ,6602.5  ,0.1      ,1102.6  ,0.1         ,539.4
48     ,Entry Long ,Enter Long ,24.01.17 01:00,915.9  ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,19.03.17 01:00,1070.5 ,81.148   ,1254.5  ,0.2       ,0.2         ,7857    ,0.4      ,3206    ,0           ,270.4
49     ,Entry Short,Enter Short,19.03.17 01:00,1070.5 ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Short ,Enter Long ,04.04.17 02:00,1107.5 ,82.025   ,-303.5  ,0         ,0           ,7553.5  ,0.2      ,1547.1  ,0.1         ,745.6
50     ,Entry Long ,Enter Long ,04.04.17 02:00,1107.5 ,         ,        ,          ,            ,        ,         ,        ,            ,
       ,Exit Long  ,Enter Short,28.06.17 02:00,2463.6 ,73.175   ,9923.3  ,01. Feb   ,01. Feb     ,17476.8 ,01. Jul  ,13467.9 ,0           ,0
51     ,Entry Short,Enter Short,28.06.17 02:00,2463.6 ,         ,        ,          ,            ,        ,         ,        ,            ,
